product_id,product_name,brand,category,price,currency,stock_quantity,rating,sku,description
FA-2005,Women's Silk Blend Saree,FabIndia,Fashion,5999,INR,373,4.3,SKU-FA-2005,Luxurious silk blend traditional saree with border
HK-3021,Microfiber Cleaning Cloth Pack,Scotch-Brite,Home & Kitchen,399,INR,418,4.3,SKU-HK-3021,Super absorbent microfiber cloths for cleaning
HK-3004,Digital Air Fryer 4.2L,Havells,Home & Kitchen,6990,INR,250,5.0,SKU-HK-3004,Oil free digital air fryer for healthy snacks
HK-3010,Induction Cooktop 2000W,Prestige,Home & Kitchen,2799,INR,357,4.2,SKU-HK-3010,Efficient induction cooktop with touch controls
FA-2006,Men's Checked Formal Shirt,Van Heusen,Fashion,1999,INR,162,3.6,SKU-FA-2006,Premium checked formal shirt for office wear
SF-4006,Football Size 5 Training Ball,Nivia,Sports & Fitness,1499,INR,44,3.6,SKU-SF-4006,High bounce training football for practice matches
FA-2016,Men's Running Shorts,Nike,Fashion,1499,INR,352,4.3,SKU-FA-2016,Lightweight running shorts with quick dry fabric
FA-2018,Men's Formal Leather Shoes,Bata,Fashion,3499,INR,439,3.7,SKU-FA-2018,Classic formal leather shoes for office wear
EL-1013,Mi Power Bank 20000mAh,Mi,Electronics,1999,INR,23,3.5,SKU-EL-1013,High capacity power bank with fast charging
FA-2017,Women's Leather Handbag,Lavie,Fashion,2999,INR,217,5.0,SKU-FA-2017,Premium leather handbag with multiple compartments
BE-5003,Argan Hair Oil 100ml,L'Oreal,Beauty & Personal Care,449,INR,328,4.4,SKU-BE-5003,Nourishing hair oil for frizz free shiny hair
SF-4015,Tennis Racket Carbon Fiber,Wilson,Sports & Fitness,7999,INR,246,4.8,SKU-SF-4015,Professional carbon fiber tennis racket lightweight
SF-4020,Jump Rope Digital Counter,HRX,Sports & Fitness,1299,INR,162,4.2,SKU-SF-4020,Smart skipping rope with digital counter display
EL-1008,JBL Tune 760NC Headphones,JBL,Electronics,5999,INR,432,4.9,SKU-EL-1008,Foldable wireless headphones with pure bass
EL-1012,Philips PowerPro Vacuum Cleaner,Philips,Electronics,7499,INR,376,4.6,SKU-EL-1012,Bagless vacuum cleaner with powerful suction
HK-3001,Stainless Steel Pressure Cooker 5L,Hawkins,Home & Kitchen,2599,INR,194,3.9,SKU-HK-3001,Durable stainless steel pressure cooker for cooking
HK-3011,Convection Microwave Oven 28L,LG,Home & Kitchen,12490,INR,297,3.7,SKU-HK-3011,Versatile microwave oven for baking and grilling
BE-5020,Essential Oil Diffuser,Mamaearth,Beauty & Personal Care,1499,INR,371,3.9,SKU-BE-5020,Aroma diffuser with LED lights for relaxation
BE-5005,Charcoal Face Wash 150ml,Himalaya,Beauty & Personal Care,249,INR,283,3.5,SKU-BE-5005,Deep cleansing face wash removes excess oil
HK-3016,Wall Clock Silent Sweep,Ajanta,Home & Kitchen,799,INR,182,3.8,SKU-HK-3016,Modern wall clock with silent sweep movement
BE-5017,Men's Deodorant Spray 150ml,Axe,Beauty & Personal Care,249,INR,496,4.8,SKU-BE-5017,Long lasting fragrance deodorant spray for men
FA-2004,Men's Regular Fit Jeans,Allen Solly,Fashion,2499,INR,216,5.0,SKU-FA-2004,Classic regular fit stretchable denim jeans
SF-4025,Basketball Size 7 Outdoor,Spalding,Sports & Fitness,1999,INR,310,4.8,SKU-SF-4025,Outdoor basketball with superior grip
SF-4001,Adjustable Dumbbells Set 20kg,Decathlon,Sports & Fitness,8999,INR,326,4.5,SKU-SF-4001,Heavy duty adjustable dumbbells for strength training
FA-2008,Men's Leather Biker Jacket,Tommy Hilfiger,Fashion,14999,INR,158,4.5,SKU-FA-2008,Stylish genuine leather biker jacket for winter
FA-2011,Women's Cropped Denim Jacket,Levi's,Fashion,3599,INR,206,4.5,SKU-FA-2011,Fashionable cropped denim jacket for casual styling
EL-1005,Noise ColorFit Pro 4 Smartwatch,Noise,Electronics,3499,INR,364,4.6,SKU-EL-1005,Fitness tracking smartwatch with AMOLED display
EL-1014,Canon EOS 1500D DSLR Camera,Canon,Electronics,32990,INR,265,3.8,SKU-EL-1014,DSLR camera with 24MP sensor and 4K video
HK-3012,Electric Vegetable Chopper 500ml,Wonderchef,Home & Kitchen,999,INR,152,5.0,SKU-HK-3012,Compact electric chopper for quick chopping
EL-1003,Samsung 55 inch Crystal 4K Smart TV,Samsung,Electronics,45990,INR,381,3.9,SKU-EL-1003,Ultra HD smart LED TV with crystal clear display
FA-2021,Women's Stylish Sunglasses,Ray-Ban,Fashion,5990,INR,272,4.3,SKU-FA-2021,UV protected stylish sunglasses for summer
FA-2024,Unisex Baseball Cap,Puma,Fashion,999,INR,327,4.9,SKU-FA-2024,Adjustable cotton cap with embroidered logo
SF-4016,Camping Tent 4 Person Waterproof,Wildcraft,Sports & Fitness,8999,INR,478,3.7,SKU-SF-4016,Waterproof camping tent for 4 person adventure
BE-5015,Aloe Vera Gel 300ml,Patanjali,Beauty & Personal Care,299,INR,423,4.9,SKU-BE-5015,Pure aloe vera gel for skin and hair
HK-3009,Robotic Vacuum Cleaner with Mop,Eureka Forbes,Home & Kitchen,18990,INR,280,4.9,SKU-HK-3009,Smart robotic vacuum cleaner with mopping function
HK-3019,Wooden Chopping Board,Home Centre,Home & Kitchen,599,INR,313,3.6,SKU-HK-3019,Antibacterial wooden chopping board for kitchen
EL-1016,Boat Rockerz 255 Neckband,boAt,Electronics,1499,INR,60,4.9,SKU-EL-1016,Wireless neckband with 20 hours playback
BE-5011,Ubtan Face Scrub 100g,Patanjali,Beauty & Personal Care,149,INR,29,4.6,SKU-BE-5011,Exfoliating scrub for radiant clear glowing skin
EL-1019,Sony PS5 Gaming Console,Sony,Electronics,49990,INR,23,3.6,SKU-EL-1019,Next gen gaming console with ultra HD graphics
EL-1006,Zebronics Gaming Keyboard Mouse Combo,Zebronics,Electronics,1599,INR,260,3.5,SKU-EL-1006,RGB backlit gaming keyboard and mouse combo
HK-3007,Borosilicate Glass Containers Set of 6,Borosil,Home & Kitchen,1299,INR,178,3.6,SKU-HK-3007,Leak proof glass containers for food storage
BE-5019,Nail Paint Set 12 Shades,Nykaa,Beauty & Personal Care,599,INR,207,4.9,SKU-BE-5019,Chip resistant nail paints with glossy finish
HK-3015,Memory Foam Pillow Set of 2,Wakefit,Home & Kitchen,2499,INR,442,3.7,SKU-HK-3015,Ergonomic memory foam pillows for better sleep
HK-3005,Mixer Grinder 750W 3 Jars,Bajaj,Home & Kitchen,3299,INR,201,4.8,SKU-HK-3005,Powerful mixer grinder with stainless steel jars
BE-5007,Rose Water Toner Mist 120ml,Plum,Beauty & Personal Care,345,INR,87,4.2,SKU-BE-5007,Refreshing toner tightens pores and balances skin
FA-2002,Women's Floral Summer Dress,Zara,Fashion,2999,INR,295,3.5,SKU-FA-2002,Elegant floral printed summer dress for outings
HK-3024,Curtains Set 4 Pcs Window,D'Decor,Home & Kitchen,3499,INR,318,3.9,SKU-HK-3024,Blackout curtains set for window decoration
BE-5016,Electric Hair Straightener,Philips,Beauty & Personal Care,1999,INR,372,4.3,SKU-BE-5016,Ceramic coated straightener for smooth hair styling
SF-4022,Ab Wheel Roller with Knee Pad,Boldfit,Sports & Fitness,799,INR,317,3.8,SKU-SF-4022,Core workout ab wheel with knee support
HK-3013,Bone China Dinner Set 32 Pcs,Cello,Home & Kitchen,4499,INR,388,4.1,SKU-HK-3013,Elegant bone china dinner set for family dining
HK-3017,LED Ceiling Light Panel,Wipro,Home & Kitchen,1299,INR,342,4.7,SKU-HK-3017,Energy efficient LED ceiling light with dimmer
BE-5010,Kohl Kajal Eyeliner Black,Lakme,Beauty & Personal Care,199,INR,379,4.9,SKU-BE-5010,Intense black kajal with smudge proof wear
SF-4017,Hiking Backpack 60L,Wildcraft,Sports & Fitness,3999,INR,322,5.0,SKU-SF-4017,Spacious hiking backpack with rain cover
BE-5012,Cocoa Body Lotion 400ml,Nivea,Beauty & Personal Care,549,INR,87,4.5,SKU-BE-5012,Intensely moisturizes dry skin for 48 hours
SF-4005,Cricket Bat Kashmir Willow,MRF,Sports & Fitness,3499,INR,230,4.8,SKU-SF-4005,Premium Kashmir willow bat for powerful strokes
EL-1017,Samsung Galaxy Tab A8,Samsung,Electronics,16999,INR,461,4.2,SKU-EL-1017,10.5 inch tablet with LTE and Dolby audio
EL-1022,Havells Beard Trimmer,Havells,Electronics,1899,INR,449,3.5,SKU-EL-1022,Cordless beard trimmer with 20 length settings
FA-2015,Women's Palazzo Kurta Set,W for Woman,Fashion,3299,INR,360,3.9,SKU-FA-2015,Stylish palazzo set with printed kurta design
HK-3003,Electric Kettle 1.5L,Philips,Home & Kitchen,1499,INR,279,4.7,SKU-HK-3003,Fast boiling electric kettle with auto shutoff
EL-1024,ASUS ROG Gaming Mouse,ASUS,Electronics,2499,INR,461,3.8,SKU-EL-1024,High precision gaming mouse with RGB lighting
SF-4010,Whey Protein Powder 1kg,MuscleBlaze,Sports & Fitness,2199,INR,374,3.7,SKU-SF-4010,High protein whey powder for muscle growth
EL-1001,Sony WH-1000XM5 Wireless Headphones,Sony,Electronics,29990,INR,31,4.8,SKU-EL-1001,Premium noise cancelling over-ear wireless headphones
FA-2012,Men's Linen Kurta Pajama Set,Manyavar,Fashion,4999,INR,83,3.8,SKU-FA-2012,Elegant linen blend kurta set for festive occasions
EL-1002,boAt Stone 350 Bluetooth Speaker,boAt,Electronics,1999,INR,384,4.2,SKU-EL-1002,Compact portable Bluetooth speaker with powerful bass
EL-1011,LG 1.5 Ton 5 Star AC,LG,Electronics,38990,INR,45,3.9,SKU-EL-1011,Energy efficient inverter split AC with dual cooling
EL-1025,Apple iPad 9th Gen,Apple,Electronics,30900,INR,263,3.7,SKU-EL-1025,10.2 inch Retina display tablet with A13 chip
SF-4018,Cricket Helmet with Grill,Shrey,Sports & Fitness,2999,INR,350,4.5,SKU-SF-4018,Protective cricket helmet with steel grill
FA-2010,Men's Sports Track Pants,Adidas,Fashion,2299,INR,475,4.6,SKU-FA-2010,Breathable sports track pants for gym workouts
FA-2003,Unisex Oversized Hoodie,Nike,Fashion,3499,INR,262,3.7,SKU-FA-2003,Cozy oversized hoodie with soft fleece interior
FA-2020,Men's Chino Pants,H&M,Fashion,1999,INR,452,3.5,SKU-FA-2020,Comfortable chino pants for casual office look
HK-3002,Non-Stick Cookware Set 7 Pcs,Prestige,Home & Kitchen,3499,INR,124,4.4,SKU-HK-3002,Premium non-stick cookware set for healthy cooking
FA-2022,Men's Analog Wrist Watch,Fossil,Fashion,8995,INR,346,4.0,SKU-FA-2022,Premium analog watch with stainless steel strap
HK-3023,Coffee Table Wooden,Pepperfry,Home & Kitchen,6999,INR,406,4.4,SKU-HK-3023,Modern wooden coffee table for living room
BE-5004,Matte Liquid Lipstick Set of 6,Maybelline,Beauty & Personal Care,1299,INR,360,4.2,SKU-BE-5004,Long lasting matte lipsticks with intense color
BE-5014,Beard Growth Oil 50ml,Beardo,Beauty & Personal Care,499,INR,411,4.5,SKU-BE-5014,Natural beard growth oil for thicker beard
FA-2013,Women's Handloom Cotton Saree,FabIndia,Fashion,4499,INR,170,4.2,SKU-FA-2013,Authentic handloom cotton saree with woven design
EL-1018,Fire-Boltt Phoenix Pro Smartwatch,Fire-Boltt,Electronics,1999,INR,176,4.5,SKU-EL-1018,Bluetooth calling smartwatch with 120 sports modes
BE-5006,Keratin Shampoo 340ml,Dove,Beauty & Personal Care,399,INR,422,4.9,SKU-BE-5006,Smoothening shampoo for dry damaged hair repair
HK-3020,Ceramic Planter Pot Set of 3,Ugaoo,Home & Kitchen,999,INR,119,4.9,SKU-HK-3020,Handcrafted ceramic planters for indoor plants
SF-4021,Sports Water Bottle Sipper 1L,Cellofit,Sports & Fitness,499,INR,29,5.0,SKU-SF-4021,BPA free sports sipper bottle for gym
HK-3022,Laundry Basket with Lid,Nilkamal,Home & Kitchen,799,INR,56,4.4,SKU-HK-3022,Durable plastic laundry basket with lid
HK-3018,Stainless Steel Cutlery Set 24 Pcs,Vinod,Home & Kitchen,1499,INR,67,4.1,SKU-HK-3018,Premium cutlery set with mirror polish finish
SF-4004,Resistance Bands Set 5pcs,Boldfit,Sports & Fitness,799,INR,387,4.1,SKU-SF-4004,Durable elastic bands for full body training
SF-4024,Table Tennis Table Foldable,Stag,Sports & Fitness,18990,INR,87,4.4,SKU-SF-4024,Foldable table tennis table for indoor games
EL-1020,Epson EcoTank Printer,Epson,Electronics,14990,INR,474,4.7,SKU-EL-1020,All-in-one ink tank printer with WiFi
FA-2001,Men's Slim Fit Cotton T-Shirt,Levi's,Fashion,1299,INR,253,4.4,SKU-FA-2001,Comfortable slim fit cotton t-shirt for daily wear
SF-4009,Gym Shaker Bottle 750ml,Puma,Sports & Fitness,549,INR,317,3.5,SKU-SF-4009,Leakproof shaker bottle with mixing ball
SF-4008,Skipping Rope Weighted Adjustable,Adidas,Sports & Fitness,899,INR,326,3.7,SKU-SF-4008,Speed adjustable weighted skipping rope for cardio
SF-4014,Boxing Gloves 12oz PU Leather,Everlast,Sports & Fitness,2499,INR,195,3.8,SKU-SF-4014,Durable boxing gloves with wrist support
FA-2009,Women's Embroidered Anarkali Kurta,Biba,Fashion,3999,INR,427,3.6,SKU-FA-2009,Beautiful embroidered anarkali kurta for festive look
HK-3008,Insulated Water Bottle 1L,Milton,Home & Kitchen,899,INR,308,4.9,SKU-HK-3008,Double walled insulated bottle keeps drinks hot
BE-5018,Hair Dryer 1800W Foldable,Havells,Beauty & Personal Care,1499,INR,169,4.3,SKU-BE-5018,Powerful foldable hair dryer with cool shot
EL-1007,HP Wireless Optical Mouse,HP,Electronics,899,INR,55,4.6,SKU-EL-1007,Ergonomic wireless optical mouse with long battery
SF-4002,Foldable Treadmill Electric 2.5HP,PowerMax,Sports & Fitness,35990,INR,62,3.6,SKU-SF-4002,Powerful foldable treadmill with incline feature
BE-5009,Onion Hair Conditioner 250ml,WOW Skin Science,Beauty & Personal Care,349,INR,267,4.4,SKU-BE-5009,Strengthening conditioner reduces hair fall growth
EL-1009,Dell Inspiron 24 All-in-One,Dell,Electronics,58990,INR,27,4.0,SKU-EL-1009,Powerful all-in-one desktop with Full HD display
FA-2019,Women's Sports Bra,Zivame,Fashion,899,INR,250,4.1,SKU-FA-2019,High support sports bra for workout and yoga
EL-1023,JBL Go 3 Portable Speaker,JBL,Electronics,2999,INR,285,4.4,SKU-EL-1023,Mini portable waterproof Bluetooth speaker
HK-3006,Glass Top Gas Stove 3 Burner,Pigeon,Home & Kitchen,4999,INR,31,4.6,SKU-HK-3006,Stylish glass top gas stove with toughened glass
BE-5013,Tea Tree Face Mask 75g,The Body Shop,Beauty & Personal Care,895,INR,120,4.2,SKU-BE-5013,Purifying face mask for acne prone skin
SF-4013,Fitness Smartwatch Heart Rate,Noise,Sports & Fitness,3999,INR,254,4.7,SKU-SF-4013,Advanced fitness watch tracking heart rate calories
FA-2007,Women's High Waist Skinny Jeans,H&M,Fashion,2799,INR,171,3.7,SKU-FA-2007,Trendy high waist skinny jeans with stretch
FA-2014,Unisex Graphic Printed T-Shirt,Puma,Fashion,1599,INR,40,4.1,SKU-FA-2014,Trendy graphic printed t-shirt with street style
SF-4023,Knee Support Brace Pair,Tynor,Sports & Fitness,699,INR,441,4.6,SKU-SF-4023,Compression knee support for sports injury prevention
SF-4012,Cycling Helmet Ventilated Safety,Firefox,Sports & Fitness,2499,INR,43,4.2,SKU-SF-4012,Lightweight ventilated helmet with safety straps
SF-4019,Foam Roller for Muscle Recovery,Strauss,Sports & Fitness,999,INR,141,4.0,SKU-SF-4019,High density foam roller for muscle recovery
FA-2025,Men's Winter Sweater,Monte Carlo,Fashion,3499,INR,25,3.8,SKU-FA-2025,Warm woolen sweater for winter comfort
BE-5001,Vitamin C Face Serum 30ml,Mamaearth,Beauty & Personal Care,599,INR,421,3.9,SKU-BE-5001,Brightening serum for glowing even toned skin
BE-5002,Hyaluronic Acid Moisturizer 50g,Neutrogena,Beauty & Personal Care,899,INR,140,4.4,SKU-BE-5002,Deeply hydrates skin leaving it soft plump
